DrawDate,Ball 1,Ball 2,Ball 3,Ball 4,Ball 5,Thunderball,Ball Set,Machine,DrawNumber
18-Jun-2022,35,31,13,21,8,2,T3,Excalibur 3,3089
17-Jun-2022,27,23,25,3,18,5,T3,Excalibur 3,3088
15-Jun-2022,27,25,34,39,5,2,T3,Excalibur 3,3087
14-Jun-2022,7,36,12,18,2,10,T3,Excalibur 3,3086
11-Jun-2022,14,6,8,12,13,1,T2,Excalibur 2,3085
10-Jun-2022,37,25,4,7,21,9,T2,Excalibur 2,3084
08-Jun-2022,9,19,26,39,16,9,T2,Excalibur 2,3083
07-Jun-2022,36,31,9,8,38,1,T2,Excalibur 2,3082
04-Jun-2022,23,1,33,18,9,1,T1,Excalibur 2,3081
03-Jun-2022,22,25,12,17,11,5,T1,Excalibur 2,3080
01-Jun-2022,13,39,30,23,3,9,T1,Excalibur 2,3079
31-May-2022,11,17,7,31,36,5,T1,Excalibur 6,3078
28-May-2022,2,34,21,37,25,1,T4,Excalibur 6,3077
27-May-2022,36,37,33,11,21,10,T4,Excalibur 6,3076
25-May-2022,30,24,22,23,37,2,T4,Excalibur 5,3075
24-May-2022,22,14,15,1,6,4,T4,Excalibur 5,3074
21-May-2022,13,23,31,35,1,7,T3,Excalibur 6,3073
20-May-2022,32,33,36,30,37,13,T3,Excalibur 6,3072
18-May-2022,23,8,22,36,3,2,T3,Excalibur 6,3071
17-May-2022,19,21,26,24,32,1,T3,Excalibur 6,3070
14-May-2022,13,28,1,34,31,8,T2,Excalibur 6,3069
13-May-2022,2,13,6,38,29,8,T2,Excalibur 6,3068
11-May-2022,24,22,18,20,26,13,T2,Excalibur 6,3067
10-May-2022,23,24,31,14,1,1,T2,Excalibur 6,3066
07-May-2022,21,10,27,7,20,13,T1,Excalibur 5,3065
06-May-2022,37,31,2,18,23,9,T1,Excalibur 5,3064
04-May-2022,18,24,9,23,39,2,T1,Excalibur 5,3063
03-May-2022,26,1,20,18,25,3,T1,Excalibur 5,3062
30-Apr-2022,3,26,38,27,36,14,T11,Excalibur 5,3061
29-Apr-2022,3,24,28,34,35,7,T11,Excalibur 5,3060
27-Apr-2022,34,15,1,39,33,6,T11,Excalibur 5,3059
26-Apr-2022,34,3,18,24,26,3,T11,Excalibur 5,3058
23-Apr-2022,24,3,1,36,27,9,T10,Excalibur 6,3057
22-Apr-2022,8,7,32,24,17,11,T10,Excalibur 6,3056
20-Apr-2022,33,11,21,38,30,14,T10,Excalibur 6,3055
19-Apr-2022,6,39,19,24,23,13,T10,Excalibur 6,3054
16-Apr-2022,26,12,4,16,8,10,T9,Excalibur 6,3053
15-Apr-2022,17,12,24,6,19,2,T9,Excalibur 6,3052
13-Apr-2022,6,2,31,16,35,1,T9,Excalibur 6,3051
12-Apr-2022,37,36,7,21,29,12,T9,Excalibur 6,3050
09-Apr-2022,17,19,13,33,14,9,T11,Excalibur 5,3049
08-Apr-2022,37,5,38,35,21,13,T11,Excalibur 5,3048
06-Apr-2022,20,4,7,9,37,5,T11,Excalibur 5,3047
05-Apr-2022,17,20,11,30,10,8,T11,Excalibur 5,3046
02-Apr-2022,22,35,23,11,32,13,T10,Excalibur 5,3045
01-Apr-2022,22,18,12,32,14,11,T10,Excalibur 5,3044
30-Mar-2022,27,18,8,30,31,9,T10,Excalibur 5,3043
29-Mar-2022,27,7,26,34,29,8,T10,Excalibur 5,3042
26-Mar-2022,4,7,31,33,11,1,T9,Excalibur 6,3041
25-Mar-2022,32,39,6,9,25,7,T9,Excalibur 6,3040
23-Mar-2022,38,32,31,5,24,8,T9,Excalibur 6,3039
22-Mar-2022,34,35,28,37,23,1,T9,Excalibur 6,3038
19-Mar-2022,2,14,30,21,23,3,T11,Excalibur 6,3037
18-Mar-2022,15,16,30,35,5,7,T11,Excalibur 6,3036
16-Mar-2022,36,9,31,8,22,13,T11,Excalibur 6,3035
15-Mar-2022,26,18,30,23,16,3,T7,Excalibur 2,3034
12-Mar-2022,12,5,35,30,25,10,T10,Excalibur 5,3033
11-Mar-2022,34,22,23,8,32,6,T10,Excalibur 5,3032
09-Mar-2022,22,38,17,5,31,6,T10,Excalibur 5,3031
08-Mar-2022,5,19,32,25,26,12,T10,Excalibur 5,3030
05-Mar-2022,30,7,20,34,26,4,T9,Excalibur 5,3029
04-Mar-2022,15,7,30,25,26,3,T9,Excalibur 5,3028
02-Mar-2022,9,2,7,10,8,7,T9,Excalibur 5,3027
01-Mar-2022,10,22,2,32,35,3,T9,Excalibur 5,3026
26-Feb-2022,23,8,27,20,4,8,T8,Excalibur 6,3025
25-Feb-2022,37,39,15,5,28,3,T8,Excalibur 6,3024
23-Feb-2022,1,7,24,19,30,14,T8,Excalibur 6,3023
22-Feb-2022,21,2,6,37,34,8,T8,Excalibur 6,3022
19-Feb-2022,20,11,1,13,22,1,T7,Excalibur 6,3021
18-Feb-2022,23,9,6,7,20,14,T7,Excalibur 6,3020
16-Feb-2022,21,39,26,28,20,11,T7,Excalibur 6,3019
15-Feb-2022,23,12,39,1,2,7,T7,Excalibur 6,3018
12-Feb-2022,6,34,18,13,29,4,T6,Excalibur 5,3017
11-Feb-2022,8,38,37,18,2,8,T6,Excalibur 5,3016
09-Feb-2022,4,29,26,10,24,2,T6,Excalibur 5,3015
08-Feb-2022,3,14,36,5,19,2,T6,Excalibur 5,3014
05-Feb-2022,15,19,34,4,12,13,T5,Excalibur 5,3013
04-Feb-2022,7,29,26,23,19,7,T5,Excalibur 5,3012
02-Feb-2022,23,21,11,16,27,14,T5,Excalibur 5,3011
01-Feb-2022,4,33,24,36,39,5,T5,Excalibur 5,3010
29-Jan-2022,7,11,25,5,35,13,T8,Excalibur 2,3009
28-Jan-2022,1,3,31,19,23,13,T8,Excalibur 2,3008
26-Jan-2022,29,22,13,14,23,10,T8,Excalibur 2,3007
25-Jan-2022,10,17,11,12,21,4,T8,Excalibur 2,3006
22-Jan-2022,15,26,28,13,23,1,T7,Excalibur 3,3005
21-Jan-2022,16,4,8,11,38,7,T7,Excalibur 3,3004
19-Jan-2022,38,17,12,16,5,3,T7,Excalibur 3,3003
18-Jan-2022,11,19,22,17,27,3,T7,Excalibur 3,3002
15-Jan-2022,24,13,11,4,39,9,T6,Excalibur 3,3001
14-Jan-2022,33,29,18,14,15,7,T6,Excalibur 3,3000
12-Jan-2022,31,4,7,18,26,1,T6,Excalibur 3,2999
11-Jan-2022,17,6,16,18,7,11,T6,Excalibur 3,2998
08-Jan-2022,26,27,38,10,15,13,T5,Excalibur 2,2997
07-Jan-2022,15,4,34,16,30,14,T5,Excalibur 2,2996
05-Jan-2022,34,30,5,21,16,7,T5,Excalibur 2,2995
04-Jan-2022,34,13,32,31,6,1,T5,Excalibur 2,2994
01-Jan-2022,10,8,4,6,18,7,T8,Excalibur 2,2993
31-Dec-2021,12,37,11,2,6,13,T8,Excalibur 2,2992
29-Dec-2021,33,14,13,19,37,10,T8,Excalibur 2,2991
28-Dec-2021,38,13,4,2,28,4,T8,Excalibur 2,2990
25-Dec-2021,25,35,39,31,26,5,T7,Excalibur 3,2989
24-Dec-2021,7,29,38,32,22,6,T7,Excalibur 3,2988
22-Dec-2021,26,25,36,30,10,4,T7,Excalibur 3,2987
21-Dec-2021,24,12,1,19,34,9,T7,Excalibur 3,2986